,precision,recall,f1-score,support
"Credit reporting, repair, or other",0.7090909090909091,0.0824524312896406,0.14772727272727273,1892.0
Debt collection,0.9254992500915242,0.9707722227727679,0.9475952963937003,161456.0
Consumer Loan,0.9121562845558422,0.8498097553605033,0.8798799652980246,72801.0
Mortgage,0.9289908400532373,0.8856545753097477,0.9068052424439265,26796.0
accuracy,0.9222156724790356,0.9222156724790356,0.9222156724790356,0.9222156724790356
macro avg,0.8689343209478781,0.6971722461831649,0.7205019442157311,262945.0
weighted avg,0.920603681928896,0.9222156724790356,0.9189349134029178,262945.0
